20 63
3 5 4
15 19 -31
11 13 -34
9 17 6
3 7 -41
7 12 -35
13 16 -9
2 17 36
4 18 -12
15 16 32
4 7 30
4 9 27
3 9 29
11 20 33
4 11 25
9 15 46
6 13 7
14 17 37
9 16 -19
4 17 -17
1 8 -26
3 16 19
2 8 11
7 18 8
2 7 -2
1 7 -30
8 20 30
1 11 1
11 16 48
9 19 36
11 15 31
15 18 -19
12 20 5
5 11 -25
1 12 46
1 19 6
1 18 28
10 18 -23
1 3 -48
3 6 43
6 5 -47
5 20 -12
1 17 4
17 5 -46
5 12 -28
7 11 2
17 20 14
1 6 49
6 10 -31
10 9 -45
9 20 13
1 9 35
9 13 -14
4 20 39
1 14 40
17 19 17
19 20 12
1 2 46
2 5 2
1 10 13
10 16 -41
7 20 -48
2 20 -24
